//-Custom Edits-
// ∏  ¿Ã∏ß 	range	scope 	range_IN	rotationFrom 	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN
//map_name	zoom_in	zoom_out	default_zoom_at_that_map	??	??	default_rotation	shift_camera_angle_downwards	shift_camera_angle_upwards	default_shift_camera_angle_downwards
new_1-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_1-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_1-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_2-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_2-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_2-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_2-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_3-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_3-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_3-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_3-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_4-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_4-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_4-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_4-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_5-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_5-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_5-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_5-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_zone01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_zone02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_zone03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_zone04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
nif_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
nif_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
nif_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
niflheim.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
nyd_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
nyd_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
odin_tem01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
odin_tem02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
odin_tem03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
orcsdun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
orcsdun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_1-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_1-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_1-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_1-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_2-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_2-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_2-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_2-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_3-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_3-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_3-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_3-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_a00.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ordeal_a02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
p_track01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
p_track02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_arche.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_d03_i.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_dun00.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_dun04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_fild03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_fild04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_fild05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_fild06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_fild07.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_fild08.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_fild09.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_fild10.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_fild11.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pay_gld.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
payg_cas01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
payg_cas02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
payg_cas03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
payg_cas04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
payg_cas05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
payon.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
payon_01_p.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
payon_01_q.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
payon_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
payon_in02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
payon_in03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
payon_mem.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
payon_p.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
poring_w01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
poring_w02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
priest_1-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
priest_2-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
priest_3-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prontera.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pronterar.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_are_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_are01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_arena01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_cas.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_cas_q.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_castle.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_chr.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_church.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_evt_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild00.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild07.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild08.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild08a.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild08b.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild08c.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild08d.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild09.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild10.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_fild11.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_gld.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_inr.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_lib.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_lib_q.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_maze01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_maze02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_maze03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_monk.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_pri00.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_prison.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_q.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_sewb1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_sewb2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_sewb3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prt_sewb4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prtg_cas01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prtg_cas02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prtg_cas03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prtg_cas04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
prtg_cas05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pub_cat.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pud_land.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_2vs2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_c_room.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_1-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_1-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_1-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_1-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_1-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_2-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_2-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_2-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_2-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_2-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_3-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_3-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_3-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_3-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_3-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_4-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_4-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_4-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_4-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_4-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_5-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_5-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_5-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_5-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_5-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_6-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_6-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_6-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_6-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_6-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_7-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_7-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_7-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_7-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_7-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_8-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_8-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_8-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_8-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_8-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_n_room.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_room.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_1-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_1-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_1-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_1-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_1-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_2-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_2-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_2-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_2-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_2-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_3-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_3-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_3-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_3-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_3-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_4-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_4-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_4-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_4-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_4-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_5-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_5-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_5-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_5-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_5-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_6-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_6-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_6-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_6-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_6-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_7-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_7-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_7-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_7-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_7-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_8-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_8-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_8-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_8-4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_8-5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
pvp_y_room.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_avan01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_ba.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_bingo.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_dan01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_dan02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_god01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_god01t.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_god02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_house_s.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_hugel.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_job01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_job02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_lhz.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_ng.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_qaru01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_qaru02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_qaru03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_qaru04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_qaru05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_qsch01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_qsch02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_qsch03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_qsch04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_qsch05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_rachel.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_sign01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_swat.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_temsky.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
que_thor.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
quiz_00.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
quiz_01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
quiz_02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
quiz_test.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_fild03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_fild04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_fild05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_fild06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_fild07.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_fild08.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_fild09.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_fild10.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_fild11.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_fild12.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_fild13.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_san01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_san02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_san03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_san04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_san05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_temin.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_temple.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ra_temsky.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
rachel.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
rebel_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
rgsr_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
rjc_vs12.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
rjc_vs13.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
rockmi1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
rockmi2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
rockmi3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
rockrdg1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
rockrdg2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
rwc01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
s_atelier.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sbat_gra.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sbat_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sbat_map_b.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sbat_map_d.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sbat_map_e.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sbat_map_i.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sbat_map_p.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sbat_map_s.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sbat_map_u.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sbat_map_v.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sbat_map_w.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sch_gld.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
schg_cas01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
schg_cas02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
schg_cas03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
schg_cas04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
schg_cas05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
schg_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
schg_que01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sec_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
sec_in02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
